date,year,month,day,day_of_week,day_of_year,week_of_year,quarter,is_weekend,is_holiday,store_id,store_name,category_id,product_category,product_subcategory,base_price,discount_percentage,is_promotion,price,stock_level,competitor_price,temperature,precipitation,gdp_growth,unemployment_rate,consumer_confidence,marketing_spend,website_visits,social_media_engagement,customer_footfall,sales
2021-07-29,2021,7,29,3,210,30,3,0,0,5,Store_E,2,Clothing,Men,51.98,0,0,51.98,183,45.46,53.94,1.76,3.05,6.71,60.89,495.81,1010,470,278,60.03
2022-10-21,2022,10,21,4,294,42,4,0,0,3,Store_C,1,Electronics,Tablets,508.24,0,0,508.24,397,509.56,46.14,4.17,3.09,7.03,56.2,525.94,915,595,288,54.29
2012-03-11,2012,3,11,6,71,10,1,1,0,1,Store_A,4,Food,Fresh,20.04,0,0,20.04,295,22.48,79.14,3.58,3.22,6.54,74.11,491.58,1414,448,450,104.75
2020-01-20,2020,1,20,0,20,4,1,0,0,4,Store_D,1,Electronics,Phones,522.0,0,0,522.0,185,527.14,78.54,0.93,2.56,6.58,67.66,442.47,1294,420,186,49.28
2021-06-25,2021,6,25,4,176,25,2,0,0,4,Store_D,1,Electronics,Phones,478.95,0,0,478.95,97,487.12,61.23,10.79,3.33,6.42,65.44,450.16,1168,444,211,56.34
2018-02-16,2018,2,16,4,47,7,1,0,0,3,Store_C,2,Clothing,Kids,48.28,0,0,48.28,273,41.22,74.69,0.19,2.26,6.14,73.26,547.5,1430,445,341,86.87
2023-02-15,2023,2,15,2,46,7,1,0,0,2,Store_B,5,Sports,Apparel,83.61,0,0,83.61,326,90.28,72.54,6.28,2.6,6.78,66.75,434.55,1221,495,246,81.94
2021-12-17,2021,12,17,4,351,50,4,0,0,1,Store_A,2,Clothing,Kids,45.43,0,0,45.43,267,50.67,52.97,0.55,2.88,6.84,65.42,599.77,1394,551,175,63.22
2017-08-08,2017,8,8,1,220,32,3,0,0,3,Store_C,3,Home_Goods,Kitchen,149.22,0,0,149.22,298,144.75,53.24,1.56,1.96,6.4,60.63,453.83,1193,439,315,36.04
2018-02-18,2018,2,18,6,49,7,1,1,0,3,Store_C,5,Sports,Apparel,80.98,0,0,80.98,206,82.04,70.23,5.17,2.59,5.88,73.35,574.91,1352,492,413,69.9
2020-08-03,2020,8,3,0,216,32,3,0,0,1,Store_A,1,Electronics,Accessories,460.2,0,0,460.2,339,400.53,49.63,2.79,3.07,6.45,55.42,580.25,1194,388,310,51.91
2014-10-10,2014,10,10,4,283,41,4,0,0,4,Store_D,4,Food,Packaged,19.88,0,0,19.88,448,22.73,33.41,6.77,3.6,7.06,51.51,578.03,1153,503,331,77.77
2020-10-23,2020,10,23,4,297,43,4,0,0,2,Store_B,2,Clothing,Men,46.17,0,0,46.17,474,45.35,46.52,0.47,1.71,6.45,55.42,523.46,910,540,316,46.42
2020-05-30,2020,5,30,5,151,22,2,1,0,4,Store_D,4,Food,Packaged,18.61,0,0,18.61,69,18.06,79.27,0.25,1.92,6.34,70.68,561.31,1515,501,405,114.2
2015-07-18,2015,7,18,5,199,29,3,1,0,4,Store_D,3,Home_Goods,Kitchen,151.9,0,0,151.9,211,148.81,41.63,9.73,2.26,6.85,68.26,566.86,1168,498,498,38.19
2016-03-24,2016,3,24,3,84,12,1,0,0,1,Store_A,4,Food,Beverages,18.33,0,0,18.33,431,16.32,82.4,9.66,2.27,6.08,74.17,526.45,1416,501,304,118.79
2010-04-10,2010,4,10,5,100,14,2,1,0,4,Store_D,4,Food,Fresh,20.7,0,0,20.7,162,21.61,84.08,9.88,2.33,6.17,72.45,492.11,1492,536,483,115.92
2023-06-23,2023,6,23,4,174,25,2,0,0,5,Store_E,5,Sports,Equipment,74.79,0,0,74.79,385,69.77,57.03,18.09,2.78,7.02,65.35,467.42,1349,501,289,57.27
2019-05-01,2019,5,1,2,121,18,2,0,0,2,Store_B,1,Electronics,Accessories,476.61,0,0,476.61,449,543.68,72.07,0.15,2.19,6.2,78.26,400.55,1449,489,287,65.22
2021-08-16,2021,8,16,0,228,33,3,0,0,3,Store_C,1,Electronics,Tablets,474.53,0,0,474.53,426,454.55,39.81,3.25,3.32,6.4,56.1,481.35,1054,387,277,32.19
2022-08-25,2022,8,25,3,237,34,3,0,0,4,Store_D,1,Electronics,Accessories,525.33,0,0,525.33,316,498.61,37.58,3.01,3.36,6.88,60.32,494.67,941,454,329,65.46
2023-06-18,2023,6,18,6,169,24,2,1,0,2,Store_B,2,Clothing,Accessories,51.41,0,0,51.41,142,54.17,61.69,2.25,2.85,7.09,66.19,487.22,1262,584,459,86.64
2010-07-11,2010,7,11,6,192,27,3,1,0,2,Store_B,3,Home_Goods,Bedding,153.52,0,0,153.52,241,157.23,50.92,4.89,2.51,5.98,58.04,416.45,987,480,390,16.53
2022-11-10,2022,11,10,3,314,45,4,0,0,5,Store_E,3,Home_Goods,Bedding,146.04,0,0,146.04,440,162.44,39.33,6.34,3.03,7.21,55.15,480.3,1106,467,318,42.7
2014-11-20,2014,11,20,3,324,47,4,0,0,5,Store_E,2,Clothing,Accessories,54.18,0,0,54.18,72,61.81,51.6,0.36,2.37,6.81,56.49,400.68,1101,443,374,40.83
2014-03-13,2014,3,13,3,72,11,1,0,0,2,Store_B,3,Home_Goods,Bedding,144.43,0,0,144.43,426,138.63,74.66,0.55,2.73,7.01,66.96,437.34,1330,587,312,48.2
2017-10-05,2017,10,5,3,278,40,4,0,0,3,Store_C,3,Home_Goods,Kitchen,144.15,0,0,144.15,138,147.73,43.78,0.66,1.82,6.57,55.1,410.99,944,547,271,25.7
